None,Name,Name,Name,Name,Name,Fueltype,Fueltype,Fueltype,Fueltype,Fueltype,Classification,Classification,Classification,Classification,Classification,Country,Country,Country,Country,Country,Capacity,Capacity,Capacity,Capacity,Capacity,lat,lat,lat,lat,lat,lon,lon,lon,lon,lon,File,File,File,File,File
26,Stalden,,Stalden,Stalden,Stalden kwm,Hydro,,Hydro,Hydro,Hydro,,,Dam On A Lake,Reservoir,,Switzerland,,Switzerland,Switzerland,Switzerland,160.0,,185.0,185.0,185.0,46.2334091719,,46.24027,46.2302203342,47.3539569,7.87273406982,,7.8744,7.85719305844,8.3376446,,,,BFE,Switzerland Power Plant.csv
27,Zermeiggern,,Zermeiggern,Zermeiggern,Zermeiggern,Hydro,,Hydro,Hydro,Hydro,,,Pumped Storage,Pumped storage,,Switzerland,,Switzerland,Switzerland,Switzerland,76.0,,74.0,74.0,74.0,46.084056,,46.0824,46.0832665108,,7.95741,,7.9572,7.95696640448,,,,,BFE,Switzerland Power Plant.csv
28,Aarberg,,Aarberg,Aarberg,Aarberg,Hydro,,Hydro,Hydro,Hydro,,,Weir On A River,Run-of-river,,Switzerland,,Switzerland,Switzerland,Switzerland,14.609,,15.5,15.2,15.2,47.0443934279,,47.0378,47.0378523989,,7.27578163147,,7.272,7.27192721071,,,,,BFE,Switzerland Power Plant.csv
29,Muehleberg wkw,,Muehleberg,Mühleberg,Mühleberg,Hydro,,Hydro,Hydro,Hydro,,,Weir On A River,Run-of-river,,Switzerland,,Switzerland,Switzerland,Switzerland,40.0,,45.0,44.59,44.59,46.9546563762,,46.9692,46.9691475017,46.5332403,7.26101875305,,7.2844,7.28449397374,9.874586,,,,BFE,Switzerland Power Plant.csv
30,Caderousse,,Caderousse,Caderousse,Caderousse,Hydro,,Hydro,Hydro,Hydro,,,Dam With Run-Of-River Generation,Run-of-river,,France,,France,France,France,195.18,,156.0,156.0,156.0,44.139195,,44.096,44.09606,,4.807906,,4.724,4.72329,,,,,RTE,France Power Plant.csv
31,Dk sollac,,Dk dunkerque,Dk,Dk,Natural Gas,,Natural Gas,Natural Gas,Natural Gas,,,Combined Cycle Gas Engine (Ccge),,,France,,France,France,France,810.0,,800.0,796.0,796.0,51.03,,51.04816,51.04628,,2.36,,2.32547,2.31835,,,,,RTE,France Power Plant.csv
32,Eems,,Eems,Eemscentrale ec,Eemscentrale,Natural Gas,,Natural Gas,Natural Gas,Natural Gas,,,CCGT,,,Netherlands,,Netherlands,Netherlands,Netherlands,3134.7,,2400.0,1929.0,1929.0,53.4343,,53.4348,53.43949,53.4353814,6.87292,,6.8791,6.86165,6.8601214,,,,Tennet_Q42015,Netherlands Power Plant.csv
33,Avignon,,Avignon,Avignon,Avignon,Hydro,,Hydro,Hydro,Hydro,,,Dam With Run-Of-River Generation,Run-of-river,,France,,France,France,France,120.0,,176.0,126.0,126.0,43.9483386344,,43.976,43.97606,,4.80892181396,,4.817,4.81721,,,,,RTE,France Power Plant.csv
34,Baix logis neuf,,Logis neuf,Baix logis neuf,Baix logis neuf,Hydro,,Hydro,Hydro,Hydro,,,Dam With Run-Of-River Generation,Run-of-river,,France,,France,France,France,210.9,,215.0,140.0,140.0,44.9333333,,44.676,44.67605,,4.9,,4.787,4.78827,,,,,RTE,France Power Plant.csv
35,Bourg valence,,Bourg les valence,Bourg les valence,Bourg les valence,Hydro,,Hydro,Hydro,Hydro,,,Dam With Run-Of-River Generation,Run-of-river,,France,,France,France,France,186.0,,180.0,180.0,180.0,44.956009,,45.011,44.96128,,4.910227,,4.839,4.87221,,,,,RTE,France Power Plant.csv
36,Donzere,,Bollene,Donzere mondragon,Donzere mondragon,Hydro,,Hydro,Hydro,Hydro,,,Dam With Run-Of-River Generation,Run-of-river,,France,,France,France,France,354.0,,354.0,348.0,348.0,44.440893,,44.304,44.30368,,4.711792,,4.742,4.74217,,,,,RTE,France Power Plant.csv
37,Mareges,,Mareges,Mareges,Mareges,Hydro,,Hydro,Hydro,Hydro,,,Dam On A Lake,Run-of-river,,France,,France,France,France,146.0,,301.8,150.0,150.0,45.4,,45.392,45.39171,,2.35,,2.364,2.36446,,,,,RTE,France Power Plant.csv
38,Sloecentrale,,Sloe netherland,Sloecentrale unit,Sloecentrale,Natural Gas,,Natural Gas,Natural Gas,Natural Gas,,,CCGT,,,Netherlands,,Netherlands,Netherlands,Netherlands,870.0,,870.0,900.0,864.0,51.4525,,51.4481,51.44796,51.4477488,3.626389,,3.6926,3.69252,3.6903648,,,,Tennet_Q42015,Netherlands Power Plant.csv
39,Ijmuiden una,,Ijmond,Ijmond,Centrale ijmond,Natural Gas,,Natural Gas,Other,Other,,,CCGT,,,Netherlands,,Netherlands,Netherlands,Netherlands,145.938,,144.0,144.0,144.0,52.4601490017,,52.4758,52.47155,52.4713175,4.6302406311,,4.6048,4.63473,4.6280361,,,,Tennet_Q32015,Netherlands Power Plant.csv
40,Belleville,,Belleville,Belleville,Belleville,Nuclear,,Nuclear,Nuclear,Nuclear,,,,Steam turbine,,France,,France,France,France,2726.0,,2726.0,2620.0,2726.0,47.5097222222,,47.510295,47.50879,,2.875,,2.87505,2.87574,,,,,RTE,EU Nuclear Power.csv
41,Sainte croix,,Sainte croix,Sainte croix,Sainte croix,Hydro,,Hydro,Hydro,Hydro,,,Dam On River With Reservoir,Reservoir,,France,,France,France,France,140.82,,158.0,132.3,132.3,43.75,,43.737,43.73687,,6.15,,6.134,6.13423,,,,,RTE,France Power Plant.csv
42,Porcheville,,"Porcheville plant,",Porcheville,Porcheville,Oil,,Oil,Oil,Oil,,,CHP,,,France,,France,France,France,1200.0,,2400.0,2290.0,2290.0,48.972538,,48.9691746196,48.97117,,1.779727,,1.75884246826,1.76029,,,,,RTE,France Power Plant.csv
43,Couesque,,Couesque,Couesque,Couesque,Hydro,,Hydro,Hydro,Hydro,,,Dam On River With Reservoir,Run-of-river,,France,,France,France,France,124.5,,124.0,119.0,119.0,44.646063143,,44.696,44.69609,,2.5674533844,,2.585,2.58555,,,,,RTE,France Power Plant.csv
44,Oraison,,Oraison,Oraison,Oraison,Hydro,,Hydro,Hydro,Hydro,,,Dam With Run-Of-River Generation,Reservoir,,France,,France,France,France,192.5,,195.0,187.0,187.0,43.9666667,,43.921,43.92101,,5.7833333,,5.925,5.92438,,,,,RTE,France Power Plant.csv
45,Chamas,,Saint chamas,Saint chamas,Saint chamas,Hydro,,Hydro,Hydro,Hydro,,,Dam With Run-Of-River Generation,Reservoir,,France,,France,France,France,150.0,,165.0,159.0,159.0,43.549464,,43.527,43.52741,,5.033244,,5.073,5.07342,,,,,RTE,France Power Plant.csv
46,Nogent,,Nogent,Nogent,Nogent,Nuclear,,Nuclear,Nuclear,Nuclear,,,,Steam turbine,,France,,France,France,France,2726.0,,2726.0,2620.0,2726.0,48.5152777778,,48.5170848669,48.5153,,3.5177777778,,3.51809949311,3.51776,,,,,RTE,EU Nuclear Power.csv
47,Etienne cantales,,Saint etienne cantales,St etienne cantales,St etienne cantales,Hydro,,Hydro,Hydro,Hydro,,,Dam On River With Reservoir,Reservoir,,France,,France,France,France,106.5,,105.0,106.5,106.5,44.946827,,44.945,44.94516,,2.224177,,2.219,2.21906,,,,,RTE,France Power Plant.csv
48,Golfech,,Golfech,Golfech,Golfech,Nuclear,,Nuclear,Nuclear,Nuclear,,,,Steam turbine,,France,,France,France,France,2726.0,,2726.0,2620.0,2726.0,44.1066666667,,44.1060281618,44.10479,,0.8452777778,,0.844260231019,0.84606,,,,,RTE,EU Nuclear Power.csv
49,Strasbourg,,Strasbourg,Strasbourg,Strasbourg,Hydro,,Hydro,Hydro,Hydro,,,Dam With Run-Of-River Generation,Run-of-river,,France,,France,France,France,174.82,,141.0,148.0,148.0,48.5834211287,,48.526,48.52561,,7.74295806885,,7.797,7.79456,,,,,RTE,France Power Plant.csv
50,Bathie,,Bathie,Bathie,Bathie,Hydro,,Hydro,Hydro,Hydro,,,Dam On A Lake,Reservoir,,France,,France,France,France,546.0,,1056.0,575.0,575.0,45.628131,,45.644835,45.68545,,6.451055,,6.446585,6.62249,,,,,RTE,France Power Plant.csv
51,Serre poncon,,Serre poncon,Serre poncon,Serre poncon,Hydro,,Hydro,Hydro,Hydro,,,Dam On River With Reservoir,Reservoir,,France,,France,France,France,384.0,,360.0,384.0,384.0,44.465767,,44.47,44.47095,,6.217905,,6.269,6.26967,,,,,RTE,France Power Plant.csv
52,Monteynard,,Monteyard avigonnet,Monteynard,Monteynard,Hydro,,Hydro,Hydro,Hydro,,,Dam On River With Reservoir,Reservoir,,France,,France,France,France,364.0,,360.0,366.0,366.0,45.198576,,44.961,44.96118,,4.530908,,5.689,5.68874,,,,,RTE,France Power Plant.csv
53,Malgovert,,Brevieres malgovert,Malgovert,Malgovert,Hydro,,Hydro,Hydro,Hydro,,,Dam On A Lake,Reservoir,,France,,France,France,France,297.0,,396.0,297.0,297.0,45.6745226195,,45.618,45.61787,,6.39060974121,,6.79,6.79074,,,,,RTE,France Power Plant.csv
54,Civaux,,Civaux,Civaux,Civaux,Nuclear,,Nuclear,Nuclear,Nuclear,,,,Steam turbine,,France,,France,France,France,3122.0,,3122.0,2990.0,3122.0,46.4566666667,,46.4563380303,46.45614,,0.6527777778,,0.654807956874,0.6524,,,,,RTE,EU Nuclear Power.csv
55,Tricastin,,Tricastin,Tricastin,Tricastin,Nuclear,,Nuclear,Nuclear,Nuclear,,,,Steam turbine,,France,,France,France,France,3820.0,,3820.0,3660.0,3820.0,44.3297222222,,44.3311365821,44.32906,,4.7322222222,,4.73112032018,4.72605,,,,,RTE,EU Nuclear Power.csv
56,Bort,,Bort les orgues,Bort,Bort,Hydro,,Hydro,Hydro,Hydro,,,Dam On River With Reservoir,Reservoir,,France,,France,France,France,215.0,,240.0,235.0,235.0,45.4,,45.413,45.41269,,2.5,,2.499,2.49862,,,,,RTE,France Power Plant.csv
57,Esteve,,Saint esteve janson,Saint esteve,Saint esteve,Hydro,,Hydro,Hydro,Hydro,,,Dam With Run-Of-River Generation,Reservoir,,France,,France,France,France,141.1,,156.0,141.0,141.0,44.1833333,,43.692,43.69049,,6.1666667,,5.385,5.38489,,,,,RTE,France Power Plant.csv
58,Gravelines,,Gravelines,Gravelines,Gravelines,Nuclear,,Nuclear,Nuclear,Nuclear,,,,Steam turbine,,France,,France,France,France,5706.0,,5706.0,5460.0,5706.0,51.0152777778,,51.0141105547,51.01267,,2.1361111111,,2.13320933595,2.13956,,,,,RTE,EU Nuclear Power.csv
59,Cattenom,,Cattenom,Cattenom,Cattenom,Nuclear,,Nuclear,Nuclear,Nuclear,,,,Steam turbine,,France,,France,France,France,5448.0,,5448.0,5200.0,5448.0,49.4158333333,,49.4160453428,49.41579,,6.2180555556,,6.21694230446,6.2181,,,,,RTE,EU Nuclear Power.csv
60,Flamanville,,Flamanville,Flamanville,Flamanville,Nuclear,,Nuclear,Nuclear,Nuclear,,,,Steam turbine,,France,,France,France,France,2764.0,,2764.0,2660.0,2764.0,49.5363888889,,49.5365739,49.53671,,-1.8816666667,,-1.88234010604,-1.88229,,,,,RTE,EU Nuclear Power.csv
61,Fessenheim,,Fessenheim,Fessenheim,Fessenheim,Nuclear,,Nuclear,Nuclear,Nuclear,,,,Steam turbine,,France,,France,France,France,1840.0,,1840.0,1760.0,1840.0,47.917441,,47.9031515765,47.90303,,7.536985,,7.56311976401,7.56308,,,,,RTE,EU Nuclear Power.csv
62,Paluel,,Paluel,Paluel,Paluel,Nuclear,,Nuclear,Nuclear,Nuclear,,,,Steam turbine,,France,,France,France,France,5528.0,,5528.0,5320.0,5528.0,49.8580555556,,49.8582204395,49.85838,,0.6355555556,,0.635370428642,0.63449,,,,,RTE,EU Nuclear Power.csv
63,Fessenheim hydro,,Fessenheim,Fessenheim,Fessenheim,Hydro,,Hydro,Hydro,Hydro,,,Dam With Run-Of-River Generation,Run-of-river,,France,,France,France,France,172.0,,166.0,175.0,175.0,47.917441,,47.915,47.91466,,7.536985,,7.571,7.57067,,,,,RTE,France Power Plant.csv
64,Chastang,,Chastang,Chastang,Chastang,Hydro,,Hydro,Hydro,Hydro,,,Dam On River With Reservoir,Run-of-river,,France,,France,France,France,282.6,,300.0,293.0,293.0,45.131711,,45.151,45.15185,,2.02334,,2.01,2.00985,,,,,RTE,France Power Plant.csv
65,Sarrans,,Sarrans,Sarrans,Sarrans,Hydro,,Hydro,Hydro,Hydro,,,Dam On River With Reservoir,Reservoir,,France,,France,France,France,121.32,,180.0,183.0,183.0,44.843657,,44.83,44.82942,,2.661189,,2.74,2.74042,,,,,RTE,France Power Plant.csv
66,Rhinau,,Rhinau,Rhinau,Rhinau,Hydro,,Hydro,Hydro,Hydro,,,Dam With Run-Of-River Generation,Run-of-river,,France,,France,France,France,160.8,,152.0,167.8,167.8,48.2905032171,,48.284,48.28412,,7.66450881958,,7.678,7.67728,,,,,RTE,France Power Plant.csv
67,Blayais,,Blayais,Blayais,Blayais,Nuclear,,Nuclear,Nuclear,Nuclear,,,,Steam turbine,,France,,France,France,France,3804.0,,3640.0,3640.0,3804.0,45.2558333333,,45.256,45.25742,,0.6930555556,,-0.6932,-0.69065,,,,,RTE,EU Nuclear Power.csv
68,Penly,,Penly,Penly,Penly,Nuclear,,Nuclear,Nuclear,Nuclear,,,,Steam turbine,,France,,France,France,France,2764.0,,2764.0,2660.0,2764.0,49.9766666667,,49.9764408618,49.97599,,1.2119444444,,1.21073798197,1.21025,,,,,RTE,EU Nuclear Power.csv
69,Marckolsheim,,Marckolsheim,Marckolsheim,Marckolsheim,Hydro,,Hydro,Hydro,Hydro,,,Dam With Run-Of-River Generation,Run-of-river,,France,,France,France,France,156.0,,156.0,156.2,156.2,48.1647114773,,48.154,48.15371,,7.54400253296,,7.589,7.5898,,,,,RTE,France Power Plant.csv
70,Dampierre,,Dampierre,Dampierre,Dampierre,Nuclear,,Nuclear,Nuclear,Nuclear,,,,Steam turbine,,France,,France,France,France,3748.0,,3864.0,3560.0,3748.0,47.7330555556,,47.7321125133,47.73252,,2.5166666667,,2.51851575344,2.51772,,,,,RTE,EU Nuclear Power.csv
71,Guillerme,,St. guillerme,Saint guillerme,Saint guillerme,Hydro,,Hydro,Hydro,Hydro,,,Dam On A Lake,Reservoir,,France,,France,France,France,114.6,,116.0,116.0,116.0,45.054847,,45.031,45.03048,,6.029845,,6.079,6.07914,,,,,RTE,France Power Plant.csv
72,Villarodin mont cenis,,Villarodin,Villarodin,Villarodin,Hydro,,Hydro,Hydro,Hydro,,,Dam On A Lake,Reservoir,,France,,France,France,France,360.0,,360.0,357.0,357.0,45.2,,45.213,45.21466,,6.6666667,,6.721,6.71208,,,,,RTE,France Power Plant.csv
73,Vouglans,,Vouglans,Vouglans,Vouglans,Hydro,,Hydro,Hydro,Hydro,,,Dam On River With Reservoir,Reservoir,,France,,France,France,France,288.0,,262.0,285.0,285.0,46.4034802338,,46.397,46.39734,,5.6488609314,,5.666,5.66556,,,,,RTE,France Power Plant.csv
74,Curbans,,Curbans,Curbans,Curbans,Hydro,,Hydro,Hydro,Hydro,,,Dam On River With Reservoir,Reservoir,,France,,France,France,France,138.9,,165.0,139.0,139.0,44.428399,,44.4476,44.42078,,6.038579,,6.0616,6.02016,,,,,RTE,France Power Plant.csv
75,Felsenau,,Felsenau,Felsenau,Felsenau,Hydro,,Hydro,Hydro,Hydro,,,Barrage With Run-Of-River Generation,Run-of-river,,Switzerland,,Switzerland,Switzerland,Switzerland,11.5,,11.3,11.94,11.5,46.9480943365,,46.9688,46.9671385881,,7.44744300842,,7.4391,7.44204901458,,,,,BFE,Switzerland Power Plant.csv
76,Gondo,,Gondo,Gondo,Gondo,Hydro,,Hydro,Hydro,Hydro,,,Dam On A Lake,Run-of-river,,Switzerland,,Switzerland,Switzerland,Switzerland,45.39,,45.0,46.0,46.0,46.1964085788,,46.1961,46.196009215,46.3242659,8.13876628876,,8.1505,8.1506042231,7.9884511,,,,BFE,Switzerland Power Plant.csv
77,Diemen,,Diemen,Diemen dm,Diemen,Natural Gas,,Natural Gas,Natural Gas,Natural Gas,,,CCGT,,,Netherlands,,Netherlands,Netherlands,Netherlands,236.0,,701.0,684.0,684.0,52.34013,,52.33865,52.33898,52.338452,5.02002,,5.02155,5.02134,5.0205508,,,,Tennet_Q42015,Netherlands Power Plant.csv
78,Rijnmond energie,,Rijnmond netherland,Rijnmond,Rijnmond,Natural Gas,,Natural Gas,Natural Gas,Natural Gas,,,CCGT,,,Netherlands,,Netherlands,Netherlands,Netherlands,780.0,,790.0,1265.83333333,427.0,51.89759,,51.8902,51.89326,51.8941094,4.2766,,4.3552,4.34721,4.3490351,,,,Tennet_Q42015,Netherlands Power Plant.csv
79,Swentibold,,Swentibold,Swentibold,Centrale swentibold,Natural Gas,,Natural Gas,Natural Gas,Natural Gas,,,,,,Netherlands,,Netherlands,Netherlands,Netherlands,246.0,,231.0,225.0,225.0,50.974167,,50.9721,50.97971,50.9812496,5.829167,,5.7911,5.80891,5.8066118,,,,Tennet_Q12015,Netherlands Power Plant.csv
80,Innertkirchen,,Innertkirchen,Innertkirchen,Innertkirchen,Hydro,,Hydro,Hydro,Hydro,,,Water Discharged From Another Project,Reservoir,,Switzerland,,Switzerland,Switzerland,Switzerland,257.5,,317.0,62.0,239.5,46.707219,,46.705335,46.7085534816,47.3242577,8.217508,,8.230635,8.22601948865,9.094845108,,,,BFE,Switzerland Power Plant.csv
81,Handeck,,Handeck,Handeck diagonalpumpe,Handeck,Hydro,,Hydro,Hydro,Hydro,,,Dam On River With Reservoir,"Reservoir, Pumped storage",,Switzerland,,Switzerland,Switzerland,Switzerland,259.0,,100.0,100.0,100.0,46.61205,,46.6167,46.6162635148,46.2535351,8.307851,,8.30768,8.30535859224,7.3477598,,,,BFE,Switzerland Power Plant.csv
82,Merwedekanaal,,Merwedekanaal,Merwedekanaal,Centrale merwedekanaal,Natural Gas,,Natural Gas,Natural Gas,Natural Gas,,,CCGT,,,Netherlands,,Netherlands,Netherlands,Netherlands,428.04,,425.0,227.0,227.0,52.090833,,52.1017,52.10156,52.100972,5.122222,,5.0794,5.07981,5.0784226,,,,Tennet_Q42015,Netherlands Power Plant.csv
83,Hemweg,,Hemweg,Hemweg hw,Centrale hemweg,Coal,,Coal,Coal,Coal,,,Thermal,"Steam turbine, Hard coal",,Netherlands,,Netherlands,Netherlands,Netherlands,1321.0,,680.0,650.0,650.0,52.40535,,52.4049,52.40537,,4.84664,,4.8465,4.84482,,,,,Tennet_Q32015,Netherlands Power Plant.csv
